market_name,month,cci_value,cci_index
Australia,2020-01-01,93.4,100.0
Australia,2020-02-01,95.5,102.24839400428264
Australia,2020-03-01,91.9,98.39400428265525
Australia,2020-04-01,75.6,80.94218415417558
Australia,2020-05-01,88.1,94.32548179871519
Australia,2020-06-01,93.7,100.32119914346896
Australia,2020-07-01,87.9,94.11134903640257
Australia,2020-08-01,79.5,85.11777301927195
Australia,2020-09-01,93.8,100.42826552462525
Australia,2020-10-01,105.0,112.41970021413275
Australia,2020-11-01,107.7,115.31049250535332
Australia,2020-12-01,112.0,119.91434689507494
Australia,2021-01-01,107.0,114.5610278372591
Australia,2021-02-01,109.1,116.80942184154175
Canada,2020-01-01,51.5,100.0
Canada,2020-02-01,53.97,104.79611650485437
Canada,2020-03-01,53.03,102.97087378640776
Canada,2020-04-01,35.6,69.12621359223301
Canada,2020-05-01,38.45,74.6601941747573
Canada,2020-06-01,42.33,82.19417475728154
Canada,2020-07-01,44.09,85.6116504854369
Canada,2020-08-01,43.96,85.35922330097088
Canada,2020-09-01,45.35,88.05825242718447
Canada,2020-10-01,42.08,81.70873786407766
Canada,2020-11-01,44.5,86.40776699029125
Canada,2020-12-01,45.25,87.86407766990291
Canada,2021-01-01,47.98,93.16504854368931
Canada,2021-02-01,46.34,89.98058252427185
Mexico,2020-01-01,44.17,100.0
Mexico,2020-02-01,43.9,99.38872537921665
Mexico,2020-03-01,42.6,96.44555127914875
Mexico,2020-04-01,32.5,73.57935250169798
Mexico,2020-05-01,31.2,70.63617840163006
Mexico,2020-06-01,32.1,72.67376047090785
Mexico,2020-07-01,34.1,77.20172062485851
Mexico,2020-08-01,34.6,78.33371066334617
Mexico,2020-09-01,35.9,81.27688476341407
Mexico,2020-10-01,37.6,85.12565089427213
Mexico,2020-11-01,36.7,83.08806882499434
Mexico,2020-12-01,38.1,86.2576409327598
Mexico,2021-01-01,38.4,86.93683495585238
United States,2020-01-01,99.8,100.0
United States,2020-02-01,101.0,101.20240480961924
United States,2020-03-01,89.1,89.27855711422845
United States,2020-04-01,71.8,71.94388777555109
United States,2020-05-01,72.3,72.44488977955912
United States,2020-06-01,78.1,78.2565130260521
United States,2020-07-01,72.5,72.64529058116233
United States,2020-08-01,74.1,74.24849699398797
United States,2020-09-01,80.4,80.56112224448898
United States,2020-10-01,81.8,81.96392785571143
United States,2020-11-01,76.9,77.05410821643287
United States,2020-12-01,80.7,80.86172344689379
United States,2021-01-01,79.0,79.15831663326654
United States,2021-02-01,76.2,76.35270541082166
United Kingdom,2020-01-01,-9.0,100.0
United Kingdom,2020-02-01,-7.0,102.19780219780219
United Kingdom,2020-03-01,-9.0,100.0
United Kingdom,2020-04-01,-34.0,72.52747252747253
United Kingdom,2020-05-01,-34.0,72.52747252747253
United Kingdom,2020-06-01,-30.0,76.92307692307693
United Kingdom,2020-07-01,-27.0,80.21978021978022
United Kingdom,2020-08-01,-27.0,80.21978021978022
United Kingdom,2020-09-01,-25.0,82.41758241758241
United Kingdom,2020-10-01,-31.0,75.82417582417582
United Kingdom,2020-11-01,-33.0,73.62637362637363
United Kingdom,2020-12-01,-26.0,81.31868131868131
United Kingdom,2021-01-01,-28.0,79.12087912087912
