county,state,fips,cases,deaths,tag_cutoffs
Bronx,New York,36005.0,143814,5869,
Kings,New York,36047.0,209868,9093,
New York,New York,36061.0,103289,3898,
Queens,New York,36081.0,210793,8765,
Richmond,New York,36085.0,56938,1577,
Bronx,New York,36005.0,138191,5758,l7
Kings,New York,36047.0,201409,8937,l7
New York,New York,36061.0,98989,3822,l7
Queens,New York,36081.0,203097,8628,l7
Richmond,New York,36085.0,55168,1549,l7
Bronx,New York,36005.0,132334,5644,l14
Kings,New York,36047.0,192881,8761,l14
New York,New York,36061.0,94575,3750,l14
Queens,New York,36081.0,194714,8463,l14
Richmond,New York,36085.0,53403,1520,l14
Bronx,New York,36005.0,125521,5522,l21
Kings,New York,36047.0,183906,8569,l21
New York,New York,36061.0,90041,3665,l21
Queens,New York,36081.0,186218,8307,l21
Richmond,New York,36085.0,51445,1485,l21
Bronx,New York,36005.0,119673,5425,l28
Kings,New York,36047.0,175232,8395,l28
New York,New York,36061.0,85779,3586,l28
Queens,New York,36081.0,178112,8133,l28
Richmond,New York,36085.0,49736,1451,l28
