date,media,qa_filename,runtime
2021-03-04 12:23:57.059261,social,QA_Social_20210304.xlsx,257.11
2021-03-04 12:24:50.869110,digital,QA_Digital_20210304.xlsx,53.8
2021-03-05 13:23:21.421259,social,QA_Social_20210305.xlsx,253.97
2021-03-05 13:44:32.044465,social,QA_Social_20210305.xlsx,253.57
2021-03-08 11:26:17.918844,search,QA_Search_20210308.xlsx,27.96
2021-03-08 11:31:31.982409,social,QA_Social_20210308.xlsx,314.03
2021-03-08 11:32:51.927844,digital,QA_Digital_20210308.xlsx,79.93
2021-03-08 16:57:34.050377,social,QA_Social_20210308.xlsx,203.58
2021-03-08 17:45:27.476092,social,QA_Social_20210308.xlsx,291.87
2021-03-10 12:41:03.358513,digital,QA_Digital_20210310.xlsx,58.38
